"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Código Entrega";"Enunciado Entrega";"Plano Regional de Desenvolvimento";"Código - Ação Indicativa";"Descrição - Ação Indicativa";
2025;"5811";"1315";"0200";"0451";"Campanhas de enfrentamento ao capacitismo, à violência e ao preconceito contra pessoas com deficiência, com hanseníase ou com doenças raras.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.2.2.3-AI";"Realizar ações de comunicação e difusão para a promoção e valorização dos direitos humanos e da cultura da paz, com especial atenção às populações em situação de rua, pessoa idosa, crianças e adolescentes, pessoas com deficiência, pessoas negras e indígenas, povos e comunidades tradicionais, pessoas LGBTQIA+, migrantes e refugiadas";
2025;"2321";"1270";"0055";"0959";"Implantação dos Projetos Públicos de Irrigação Delmiro Gouveia";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.2.1-AI";"Apoiar a implementação de Polos e Projeto Público de irrigação";
2025;"5803";"1298";"0221";"0401";"Projetos de esporte amador, educacional e de lazer destinados à juventude negra em municípios com territórios periféricos urbanos, periurbanos ou rurais.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.3.9.1-AI";"Fortalecer as ações do Plano para Juventude Negra Viva";
2025;"2321";"1270";"0055";"0964";"Implantação do Projeto Público de Pariconha";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.2.1-AI";"Apoiar a implementação de Polos e Projeto Público de irrigação";
2025;"2323";"1330";"0366";"0803";"Reconhecimento de destinos turísticos brasileiros como destinos turísticos inteligentes em transformação, com base na metodologia DTI Brasil.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"1.3.1.4-AI";"Estimular a certificação de destinos turísticos amazônicos como destinos turísticos inteligentes em transformação, com base na metodologia DTI Brasil";
2025;"2321";"1270";"0055";"2016";"Implantação dos Projetos públicos de irrigação Salitre no estado da Bahia";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.2.1-AI";"Apoiar a implementação de Polos e Projeto Público de irrigação";
2025;"2321";"1270";"0055";"2303";"Implantação do Projeto Público de Irrigação Tabuleiros Litorâneos de Parnaíba - 2ª Etapa - com 5.985 ha";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.2.3-AI";"Construção de Projeto Público de Irrigação";
2025;"2321";"1270";"0056";"0115";"Implantação da Barragem Atalaia - PI";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.6.1.3-AI";"Construção de barragens";
2025;"5812";"1287";"0083";"0240";"Equipagem de Conselhos Municipais e Estaduais.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.2.11.3-AI";"Apoiar a implementação do Programa Cidadania Marajó";
2025;"5812";"1287";"0083";"0240";"Equipagem de Conselhos Municipais e Estaduais.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.2.2.2-AI";"Prover infraestruturas e serviços para a promoção e valorização dos direitos humanos e da cultura da paz";
2025;"5812";"1287";"0083";"0247";"Equipagem de órgãos de política LGBTQIA+ nos Estados e Municípios.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.2.11.3-AI";"Apoiar a implementação do Programa Cidadania Marajó";
2025;"5812";"1287";"0083";"0247";"Equipagem de órgãos de política LGBTQIA+ nos Estados e Municípios.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.9.2-AI";"Apoiar políticas de proteção, promoção e defesa dos direitos das pessoas LGBTQIA+";
2025;"5812";"1287";"0083";"0247";"Equipagem de órgãos de política LGBTQIA+ nos Estados e Municípios.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.2.2.2-AI";"Prover infraestruturas e serviços para a promoção e valorização dos direitos humanos e da cultura da paz";
2025;"2321";"1270";"0056";"0125";"Implantação do Canal do Xingó - Lote I - Fase I";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.6.1.2-AI";"Construção de canais e ramais";
2025;"1617";"1305";"0168";"1876";"Delimitação de Terras Indígenas";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"4.1.3.1-AI";"Garantir aos povos indígenas o direito às suas terras";
2025;"1617";"1305";"0168";"1876";"Delimitação de Terras Indígenas";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"4.1.4.1-AI";"Garantir aos povos indígenas o direito às suas terras";
2025;"1617";"1305";"0168";"1876";"Delimitação de Terras Indígenas";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.3.1.11-AI";"Garantir aos povos indígenas o direito às suas terras";
2025;"1617";"1305";"0168";"1880";"Constituição de Reservas Indígenas";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"4.1.3.1-AI";"Garantir aos povos indígenas o direito às suas terras";
2025;"1617";"1305";"0168";"1880";"Constituição de Reservas Indígenas";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"4.1.4.1-AI";"Garantir aos povos indígenas o direito às suas terras";
2025;"1617";"1305";"0168";"1880";"Constituição de Reservas Indígenas";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.3.1.11-AI";"Garantir aos povos indígenas o direito às suas terras";
2025;"2321";"1270";"0056";"2140";"Implantação da Barragem Poço de Varas";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.6.1.3-AI";"Construção de barragens";
2025;"2321";"1270";"0055";"3447";"Implantação do Projeto Público de Irrigação Pontal - Área Norte.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.2.1-AI";"Apoiar a implementação de Polos e Projeto Público de irrigação";
2025;"3102";"1274";"0046";"0936";"Áreas com potencial prospectivo para minerais nucleares avaliadas.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"4.1.4.3-AI";"Avaliar áreas com potencial prospectivo para minerais estratégicos para a transição energética";
2025;"2321";"1270";"0056";"2164";"Implantação da Barragem Oiticica";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.6.1.3-AI";"Construção de barragens";
2025;"2321";"1270";"0056";"2164";"Implantação da Barragem Oiticica";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.6.1.4-AI";"Segurança de barragens";
2025;"3102";"1274";"0046";"0940";"Áreas para pesquisa e produção de minerais estratégicos para a transição energética ofertadas.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"1.1.5.1-AI";"Apoiar estudos, levantamentos, mapeamentos e projetos para a atração de investimentos em pesquisa, produção e transformação mineral orientados para a sustentabilidade";
2025;"3102";"1274";"0046";"0940";"Áreas para pesquisa e produção de minerais estratégicos para a transição energética ofertadas.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.2.1.1-AI";"Apoiar estudos e projetos no setor mineral para a sustentabilidade, a transição energética e a segurança alimentar";
2025;"2321";"1270";"0058";"1761";"Ampliação do monitoramento de dados de nível dos principais aquíferos brasileiros";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"4.1.4.5-AI";"Realizar levantamentos geológico-ambientais com foco no uso adequado do território";
2025;"3102";"1274";"0046";"0793";"Áreas com potencial prospectivo para minerais estratégicos para a transição energética avaliadas.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"1.2.7.1-AI";"Apoiar estudos e pesquisas para a identificação de recursos geológicos e minerais com potencial de exploração econômica sustentável";
2025;"3102";"1274";"0046";"0793";"Áreas com potencial prospectivo para minerais estratégicos para a transição energética avaliadas.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.2.1.1-AI";"Apoiar estudos e projetos no setor mineral para a sustentabilidade, a transição energética e a segurança alimentar";
2025;"3102";"1274";"0046";"0793";"Áreas com potencial prospectivo para minerais estratégicos para a transição energética avaliadas.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"4.1.4.3-AI";"Avaliar áreas com potencial prospectivo para minerais estratégicos para a transição energética";
2025;"2321";"1270";"0058";"1778";"Elaboração de mapas, estudos e pesquisas relacionados à avaliação da disponibilidade hídrica. (MME)";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"4.1.4.6-AI";"Ampliar o conhecimento sobre recursos hídricos, minimizando os riscos e ocorrências de conflitos";
2025;"3102";"1274";"0051";"1012";"Levantamentos geológico-ambientais com foco no uso adequado do território realizados.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"4.1.4.5-AI";"Realizar levantamentos geológico-ambientais com foco no uso adequado do território";
2025;"3107";"1294";"0115";"2612";"Sistemas Isolados com participação de fontes renováveis de geração de energia.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"3.2.4.1-AI";"Ampliar da oferta de energia limpa e renovável na Amazônia";
2025;"3107";"1294";"0092";"2591";"Expansão da capacidade instalada de fonte de energia elétrica limpa";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"3.2.4.2-AI";"Promoção da diversificação da matriz energética";
2025;"3107";"1294";"0092";"2591";"Expansão da capacidade instalada de fonte de energia elétrica limpa";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.1.2.2-AI";"Ampliar da geração de energia distribuída";
2025;"2321";"1270";"0056";"3450";"Implementação de ações e intervenções para segurança de barragens.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.6.1.4-AI";"Segurança de barragens";
2025;"5111";"1281";"0039";"1372";"Apoio à construção de creches e pré-escolas no âmbito do Novo PAC.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.2.2.1-AI";"Apoiar a contrução e reforma de escolas e creches";
2025;"5111";"1281";"0039";"1372";"Apoio à construção de creches e pré-escolas no âmbito do Novo PAC.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.1.1.1-AI";"Construir unidades de Educação Infantil em áreas de menor cobertura";
2025;"3107";"1294";"0122";"2571";"Estudos de viabilidade para interligação de Sistemas Isolados ao Sistema Interligado Nacional.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"3.2.4.1-AI";"Ampliar da oferta de energia limpa e renovável na Amazônia";
2025;"3103";"1272";"0031";"0033";"Divulgação das informações através do zoneamento nacional de recursos de óleo e gás";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.1.1.1-AI";"Ampliar da oferta de Petróleo e Gás Natural";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"1.2.1.1-AI";"Incentivar a agricultura orgânica e a utilização de sistemas agroflorestais e agrossilvipastoris, por meio do Plano Norte + Sustentável, entre outros";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"1.2.1.3-AI";"Incentivar a produção de culturas adaptadas às condições da região";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.6.1-AI";"Apoiar a utilização de tecnologias verdes baseadas na bioeconomia";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.6.2-AI";"Disponibilizar soluções tecnológicas que reduzam os custos de produção, aumentem a produtividade, assegurem a qualidade, agreguem valor a alimentos e a outros produtos agropecuários, florestais";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"1.1.1.1-AI";"Apoiar e fomentar projetos de cadeias produtivas agropecuárias sustentáveis, descarbonizadas e resilientes";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"4.1.1.3-AI";"Apoiar a adoção de boas práticas de baixo carbono nas cadeias primárias de produção agropecuária";
